"Year","Month","Stop","Total_Ins","Total_Outs","NbrStops","Mean_Ins","Mean_Outs","Mean_Load","NbrTrips","Lat","Lon","Mean_DwellTime"
"2020","Feb","1146",922,525,721,1.27877947295423,0.728155339805825,17.8102025506377,1333,39.954193,-75.258506,00:00:07
"2020","Feb","11468",816,546,532,1.53383458646617,1.02631578947368,4.76749435665914,886,39.914592,-75.154838,00:00:15
"2020","Feb","1148",27365,15553,4441,6.16190047286647,3.50213915784733,5.46644027167399,5006,39.962078,-75.258285,00:09:28
"2020","Feb","1149",359,413,375,0.957333333333333,1.10133333333333,19.7217806041335,629,39.954151,-75.258674,00:00:08
"2020","Feb","1150",251,428,364,0.68956043956044,1.17582417582418,17.2352941176471,629,39.941192,-75.256233,00:00:08
"2020","Feb","11506",52,889,395,0.131645569620253,2.25063291139241,3.88165680473373,676,39.99485,-75.233856,00:00:08
"2020","Feb","1151",359,643,434,0.827188940092166,1.4815668202765,13.9729299363057,628,39.926582,-75.246284,00:00:09
"2020","Feb","11526",3,1,3,1,0.333333333333333,18.2142857142857,14,40.028404,-75.085273,00:00:02
"2020","Feb","11528",0,0,0,NA,NA,16.5714285714286,14,40.024063,-75.084434,00:00:00
"2020","Feb","1154",363,736,422,0.860189573459716,1.74407582938389,11.2321116928447,573,39.922214,-75.230438,00:00:12
"2020","Feb","11552",22,1,6,3.66666666666667,0.166666666666667,18.0714285714286,14,40.026206,-75.0848,00:00:08
"2020","Feb","1156",274,193,252,1.08730158730159,0.765873015873016,12.2887828162291,419,39.913352,-75.242691,00:00:08
"2020","Feb","1158",839,339,422,1.98815165876777,0.803317535545024,21.1116005873715,681,40.027191,-75.064788,00:00:12
"2020","Feb","1159",259,70,220,1.17727272727273,0.318181818181818,18.2674285714286,875,40.026702,-75.067733,00:00:03
"2020","Feb","1160",3001,1930,1022,2.93639921722114,1.88845401174168,4.26358296622614,1362,39.877262,-75.244293,00:03:46
"2020","Feb","11623",65,681,355,0.183098591549296,1.91830985915493,14.014742014742,1221,40.03981,-75.143447,00:00:04
"2020","Feb","11624",57,213,158,0.360759493670886,1.34810126582278,14.5214521452145,1212,40.041355,-75.143119,00:00:01
"2020","Feb","1167",48,7,19,2.52631578947368,0.368421052631579,12.25,36,39.957862,-75.177078,00:00:15
"2020","Feb","1169",456,748,610,0.747540983606557,1.22622950819672,10.9510682288077,1451,40.000286,-75.228622,00:00:05
"2020","Feb","117",449,331,279,1.60931899641577,1.18637992831541,18.0605187319885,347,40.034725,-75.131042,00:00:12
"2020","Feb","1175",441,122,300,1.47,0.406666666666667,11.0622222222222,900,40.052452,-75.185752,00:00:05
