"Stop","Total_Ins","Total_Outs","NbrStops","Mean_Ins","Mean_Outs","Mean_Load","NbrTrips","Lat","Lon","Mean_DwellTime"
"1341",7915,8685,2575,3.07378640776699,3.37281553398058,12.4365162644281,2859,40.033946,-75.176383,00:00:23
"1342",67,119,98,0.683673469387755,1.21428571428571,13.1224862888483,2735,40.011222,-75.167999,00:00:00
"1343",11133,11790,2367,4.70342205323194,4.98098859315589,3.82708834651083,2909,40.009407,-75.152053,00:04:39
"1346",315,506,424,0.742924528301887,1.19339622641509,14.1340877914952,2916,40.013236,-75.169181,00:00:05
"1347",519,570,656,0.791158536585366,0.86890243902439,14.1445700582391,2919,40.015174,-75.169792,00:00:02
"1348",7633,8156,2560,2.981640625,3.1859375,11.7897897897898,2997,40.034259,-75.176643,00:00:23
"1349",1470,2526,1194,1.23115577889447,2.11557788944724,10.6458471760797,1505,40.050552,-75.173286,00:00:15
"1350",73,496,398,0.183417085427136,1.24623115577889,4.72229639519359,1498,40.068302,-75.148323,00:00:03
"1351",1777,1206,1035,1.71690821256039,1.16521739130435,8.77570093457944,1498,40.058288,-75.189453,00:00:15
"13520",12,175,116,0.103448275862069,1.50862068965517,4.1021377672209,421,40.124526,-74.962806,00:00:10
"13528",3,119,101,0.0297029702970297,1.17821782178218,3.81904761904762,420,40.120998,-74.961914,00:00:03
"13534",36,508,166,0.216867469879518,3.06024096385542,3.53755868544601,852,40.118831,-74.960449,00:00:06
"136",27452,16577,7112,3.8599550056243,2.33084926884139,3.04008859357697,9030,40.074832,-75.159095,00:08:45
"137",1786,1555,1946,0.917780061664954,0.799075025693731,18.0207192188616,4199,40.025318,-75.12754,00:00:05
"13795",8,8,13,0.615384615384615,0.615384615384615,9.07379134860051,393,40.078136,-75.11222,00:00:00
"13798",51,99,108,0.472222222222222,0.916666666666667,9.8676844783715,393,40.070182,-75.098434,00:00:03
"13806",53,115,115,0.460869565217391,1,9.76606683804627,389,40.071262,-75.100219,00:00:03
"13811",17,38,23,0.739130434782609,1.65217391304348,9.01799485861183,389,40.079666,-75.114822,00:00:01
"13821",12,4,14,0.857142857142857,0.285714285714286,7.93351063829787,376,40.076881,-75.110298,00:00:00
